,custid,name,age,phone,email,city,gender,balance,credit_score,acct_type,sr_citz,priv_cust,cust_since,cards
0,7800,CGMBN,25,9817812946,CGMBN@imarticus.com,jaipur,M,257817.6,420,DMAT,N,N,14.0,1
1,3397,lIYjT,25,7579058694,lIYjT@yahoo.co.in,banglore,M,190593.9,336,TRD,N,N,1.0,3
2,9722,lIYjT,76,7111305176,lIYjT@buisness.org,chennai,M,493457.0,118,CURR,Y,N,10.0,0
3,5976,xDbwH,72,7289065600,xDbwH@gmail.com,chennai,M,48538.3,40,DMAT,Y,N,7.0,2
4,2791,hSUiZ,42,9430944541,hSUiZ@buisness.org,delhi,M,365900.2,28,DMAT,N,N,3.0,2
5,2222,fzOxD,37,8996901482,fzOxD@gmail.com,delhi,M,70192.0,517,SVNG,N,N,16.0,2
6,2647,ylIYj,65,6262900819,ylIYj@hotmail.com,ahmedabad,M,80544.9,776,CURR,Y,N,1.0,0
7,8657,ylIYj,86,8511840318,ylIYj@hotmail.com,jaipur,M,441843.6,410,DMAT,Y,N,1.0,3
8,1858,ZKcLp,78,8560790764,ZKcLp@infy.in,ahmedabad,M,337803.2,626,CURR,Y,N,18.0,1
9,3442,JylIY,49,9302177478,JylIY@buisness.org,chennai,M,175517.5,643,TRD,N,N,15.0,4
10,2164,QPmrA,98,8052335814,QPmrA@mycompany.in,kolkata,M,64897.6,701,TRD,Y,N,19.0,3
11,9249,fzOxD,99,9671699177,fzOxD@hotmail.com,pune,M,123330.4,709,DMAT,Y,N,14.0,0
12,3339,xDbwH,53,7046159606,xDbwH@hotmail.com,banglore,M,266615.4,357,TRD,N,N,5.0,0
13,7392,QPmrA,36,6550002196,QPmrA@imarticus.com,mumbai,M,445993.9,41,CURR,N,N,6.0,1
14,8288,VWsvh,57,9661756072,VWsvh@buisness.org,ahmedabad,M,72933.8,53,RECR,N,N,11.0,2
15,6783,CGMBN,54,7302014423,CGMBN@hotmail.com,mumbai,M,34648.7,519,TRD,N,N,5.0,4
16,5790,DbwHF,38,6563308227,DbwHF@yahoo.co.in,pune,M,134573.0,67,TRD,N,N,8.0,2
17,2048,svhSU,48,6233625958,svhSU@buisness.org,kolkata,M,333825.5,724,CURR,N,N,16.0,2
18,5213,RafzO,30,7107258003,RafzO@buisness.org,pune,M,53619.2,353,CURR,N,N,17.0,2
19,8357,SUiZK,61,8046166593,SUiZK@hotmail.com,mumbai,M,296640.7,546,RECR,Y,N,11.0,3
20,8860,GMBNJ,84,9113230766,GMBNJ@infy.in,kolkata,M,454114.2,348,SVNG,Y,N,16.0,2
21,3932,gnEuQ,74,9725170913,gnEuQ@mycompany.in,jaipur,M,370067.4,527,DMAT,Y,N,18.0,2
22,3097,vhSUi,76,7791486659,vhSUi@mycompany.in,ahmedabad,M,238194.1,529,DMAT,Y,N,16.0,4
23,7752,svhSU,24,8120415171,svhSU@imarticus.com,delhi,M,291034.8,516,SVNG,N,N,7.0,1
24,4728,kgnEu,21,9766952546,kgnEu@yahoo.co.in,jaipur,M,290581.4,314,TRD,N,N,12.0,3
25,9375,svhSU,82,9733680076,svhSU@buisness.org,mumbai,M,21800.5,451,CURR,Y,N,16.0,1
26,1769,JylIY,67,6727419668,JylIY@imarticus.com,banglore,M,244639.7,550,SVNG,Y,N,5.0,0
27,7057,gnEuQ,92,9223760016,gnEuQ@buisness.org,jaipur,M,213716.2,670,SVNG,Y,N,16.0,0
28,9208,LptRa,45,9635779505,LptRa@hotmail.com,ahmedabad,M,380704.5,297,TRD,N,N,9.0,1
29,3832,AVWsv,59,9514396990,AVWsv@infy.in,chennai,M,47946.8,234,TRD,N,N,19.0,1
30,6137,PmrAV,54,7705129324,PmrAV@yahoo.co.in,mumbai,M,266647.8,763,INR,N,N,8.0,0
31,4769,afzOx,42,9737628282,afzOx@buisness.org,kolkata,M,113400.7,672,INR,N,N,10.0,4
32,5931,afzOx,36,6486830708,afzOx@buisness.org,delhi,M,52650.1,522,DMAT,N,N,2.0,2
33,8139,bwHFo,29,7736418773,bwHFo@infy.in,delhi,M,380164.5,126,DMAT,N,N,8.0,2
34,7492,IYjTq,90,7512558898,IYjTq@infy.in,delhi,M,430248.3,291,SVNG,Y,N,7.0,3
35,4698,EuQPm,29,8043973543,EuQPm@hotmail.com,ahmedabad,M,69947.7,494,RECR,N,N,19.0,3
36,3594,Xekgn,20,8120697073,Xekgn@hotmail.com,ahmedabad,M,444467.0,142,DMAT,N,N,14.0,3
37,8152,HFoCG,22,9842270802,HFoCG@buisness.org,banglore,M,462340.4,111,CURR,N,N,1.0,3
38,4824,mrAVW,76,6052800020,mrAVW@imarticus.com,kolkata,M,188210.5,694,TRD,Y,N,10.0,3
